img,prompt,ism↑,fdr↑,brisque↓
emma,a_photo_of_sks_person,0.6363,1.0000,40.1309
emma_aspl,a_photo_of_sks_person,0.2931,0.5625,49.3269
emma_aspl_bf,a_photo_of_sks_person,0.4168,0.7500,46.6166
emma_aspl_gn,a_photo_of_sks_person,0.5570,1.0000,6.0956
emma_aspl_bf_gn,a_photo_of_sks_person,0.6005,0.9375,15.6956
emma_aspl_gn_bf,a_photo_of_sks_person,0.4364,0.5000,40.2060
emma_aspl_diffpure,a_photo_of_sks_person,0.2517,0.8750,55.8436
emma_aspl_ape,a_photo_of_sks_person,0.4329,1.0000,36.6274
emma_aspl_ada,a_photo_of_sks_person,0.3747,0.8125,50.7812
emma_glaze,a_photo_of_sks_person,0.6169,0.9375,34.4424
emma_glaze_bf_gn,a_photo_of_sks_person,0.6877,1.0000,21.9809
emma_metacloak,a_photo_of_sks_person,0.5380,0.4375,45.1854
emma_mist,a_photo_of_sks_person,0.1801,0.6250,12.8360
emma_metacloak_gn,a_photo_of_sks_person,0.5608,1.0000,19.6693
emma_glaze_gn,a_photo_of_sks_person,0.6320,1.0000,6.5113
emma_glaze_bf,a_photo_of_sks_person,0.5850,0.9375,39.9188
emma_glaze_gn_bf,a_photo_of_sks_person,0.6861,1.0000,54.0321
emma_glaze_ape,a_photo_of_sks_person,0.5474,0.9375,39.0174
emma_glaze_ada,a_photo_of_sks_person,0.2782,1.0000,43.7882
emma_glaze_diffpure,a_photo_of_sks_person,0.2800,0.8125,60.1010
emma_metacloak_bf,a_photo_of_sks_person,0.3794,0.5000,46.2181
emma_metacloak_gn_bf,a_photo_of_sks_person,0.5600,0.6250,47.7605
emma_metacloak_bf_gn,a_photo_of_sks_person,0.5602,0.8750,14.9773
emma_metacloak_ape,a_photo_of_sks_person,0.4814,1.0000,28.6762
emma_metacloak_ada,a_photo_of_sks_person,0.2301,0.5000,52.5960
emma_metacloak_diffpure,a_photo_of_sks_person,0.3252,0.9375,58.6799
emma_mist_gn,a_photo_of_sks_person,0.5362,1.0000,20.2216
emma_mist_bf,a_photo_of_sks_person,0.5187,1.0000,43.9993
emma_mist_gn_bf,a_photo_of_sks_person,0.4675,1.0000,37.6599
emma_mist_bf_gn,a_photo_of_sks_person,0.4963,1.0000,11.8768
emma_mist_ape,a_photo_of_sks_person,0.3611,0.6250,33.6310
emma_mist_ada,a_photo_of_sks_person,0.3586,0.8125,40.8980
emma_mist_diffpure,a_photo_of_sks_person,0.2901,0.9375,54.0531
