img,prompt,ism↑,fdr↑,brisque↓
george,a_photo_of_sks_person,0.6085,0.6875,-1.6803
george_aspl,a_photo_of_sks_person,0.3849,0.0625,38.6968
george_aspl_gn,a_photo_of_sks_person,0.6372,0.8125,16.5555
george_aspl_bf,a_photo_of_sks_person,0.4403,0.0625,44.3758
george_aspl_bf_gn,a_photo_of_sks_person,0.6020,0.6875,21.1581
george_aspl_gn_bf,a_photo_of_sks_person,0.4864,0.4375,44.3603
george_aspl_diffpure,a_photo_of_sks_person,0.0999,0.9375,46.5056
george_aspl_ape,a_photo_of_sks_person,0.4347,0.6250,33.9418
george_aspl_ada,a_photo_of_sks_person,0.3696,0.0625,30.8147
george_mist,a_photo_of_sks_person,0,0.0000,19.3765
george_mist_gn,a_photo_of_sks_person,0.4672,0.3125,26.8454
george_mist_bf,a_photo_of_sks_person,0.4996,0.8750,51.0912
george_mist_bf_gn,a_photo_of_sks_person,0.5527,0.4375,27.2465
george_mist_gn_bf,a_photo_of_sks_person,0.3827,0.0625,48.6852
george_mist_ape,a_photo_of_sks_person,0.5132,0.6875,25.6629
george_mist_ada,a_photo_of_sks_person,0,0.0000,44.4093
george_mist_diffpure,a_photo_of_sks_person,0.1604,0.7500,41.8847
george_glaze,a_photo_of_sks_person,0.5656,0.7500,11.5132
george_glaze_gn,a_photo_of_sks_person,0.6088,0.8750,-0.3818
george_glaze_bf,a_photo_of_sks_person,0.5919,0.6250,32.7341
george_glaze_gn_bf,a_photo_of_sks_person,0.5963,0.8125,31.1962
george_glaze_bf_gn,a_photo_of_sks_person,0.6200,0.8125,8.0930
george_glaze_ape,a_photo_of_sks_person,0.5367,0.3750,33.6731
george_glaze_ada,a_photo_of_sks_person,0.3410,0.1250,45.7535
george_glaze_diffpure,a_photo_of_sks_person,0.1540,0.7500,45.3160
george_metacloak,a_photo_of_sks_person,0.2932,0.1250,44.8118
george_metacloak_gn,a_photo_of_sks_person,0.5804,0.6875,15.0751
george_metacloak_bf,a_photo_of_sks_person,0.5908,0.2500,40.6800
george_metacloak_gn_bf,a_photo_of_sks_person,0.6101,0.0625,43.7979
george_metacloak_bf_gn,a_photo_of_sks_person,0.5415,0.4375,18.0240
george_metacloak_ape,a_photo_of_sks_person,0.4131,0.1875,24.6557
george_metacloak_ada,a_photo_of_sks_person,0.3166,0.1250,33.4470
george_metacloak_diffpure,a_photo_of_sks_person,0.1597,0.6250,45.2513
