img,ism,fdr,brisque
amy,0.6776,1,8.1307
amy_aspl,0.5952,1,32.3064
amy_aspl_ada,0.3384,1,52.6838
amy_aspl_ape,0.4998,1,37.8222
amy_aspl_bf,0.5641,1,44.3958
amy_aspl_diffpure,0.052,0.5,57.2584
amy_aspl_gn,0.6964,1,24.2978
amy_glaze,0.6679,1,38.0308
amy_glaze_ada,0.3486,1,47.1741
amy_glaze_ape,0.5572,1,29.7752
amy_glaze_bf,0.6468,1,42.9286
amy_glaze_diffpure,0.0529,1,61.6003
amy_glaze_gn,0.5815,1,26.4721
amy_metacloak,0.3958,1,37.8078
amy_metacloak_ada,0.2228,0.875,53.5048
amy_metacloak_ape,0.5604,1,34.7151
amy_metacloak_bf,0.5506,1,44.72
amy_metacloak_diffpure,0.0847,0.9375,54.2885
amy_metacloak_gn,0.6005,1,9.7686
amy_mist,0.1439,0.9375,15.4824
amy_mist_ada,0.2858,1,39.4938
amy_mist_ape,0.5283,0.875,34.0727
amy_mist_bf,0.3899,1,50.9632
amy_mist_diffpure,0.1487,1,47.3232
amy_mist_gn,0.4334,1,28.8356
ariana,0.7497,0.875,30.1314
ariana_aspl,0.5139,0.75,41.1872
ariana_aspl_adavoc,0.6666,0.75,38.8566
ariana_aspl_ape,0.5232,0.8125,40.906
ariana_aspl_bf,0.397,0.1875,38.4659
ariana_aspl_diffpure,0.1425,0.9375,27.8133
ariana_aspl_gn,0.6707,1,17.5674
ariana_aspl_pdmpure,0.617,0.9375,44.4717
ariana_glaze,0.577,0.8125,41.2451
ariana_glaze_adavoc,0.6645,1,36.3436
ariana_glaze_ape,0.5733,1,45.0197
ariana_glaze_bf,0.6562,0.9375,29.0875
ariana_glaze_diffpure,0.136,0.75,51.3747
ariana_glaze_gn,0.7173,1,7.838
ariana_glaze_pdmpure,0.6488,1,41.4036
ariana_metacloak,0.4795,0.25,35.2415
ariana_metacloak_adavoc,0,0,42.3649
ariana_metacloak_ape,0.599,0.8125,32.1603
ariana_metacloak_bf,0.5678,0.1875,43.1511
ariana_metacloak_diffpure,0.2027,0.875,39.3203
ariana_metacloak_gn,0.542,1,12.3359
ariana_metacloak_pdmpure,0.6094,0.8125,48.9909
ariana_mist,0.3241,0.625,15.7102
ariana_mist_adavoc,0.5399,1,23.6132
ariana_mist_ape,0.598,1,30.3521
ariana_mist_bf,0.5127,0.75,40.0188
ariana_mist_diffpure,0.088,1,45.2763
ariana_mist_gn,0.6023,1,13.1631
ariana_mist_pdmpure,0.5965,0.9375,40.0471
beyonce,0.611,0.9375,-2.0296
beyonce_aspl,0.5817,0.8125,37.6975
beyonce_aspl,0.5818,0.8125,37.6975
beyonce_aspl_adavoc,0.5257,0.8125,33.1279
beyonce_aspl_ape,0.5756,0.9375,39.0826
beyonce_aspl_bf,0.5469,0.625,39.1573
beyonce_aspl_diffpure,0.1924,1,48.2123
beyonce_aspl_gn,0.6222,1,30.8409
beyonce_aspl_pdmpure,0.5391,0.9375,22.8559
beyonce_glaze,0.6036,1,11.4516
beyonce_glaze_adavoc,0.5739,0.9375,27.3946
beyonce_glaze_ape,0.6033,1,21.1736
beyonce_glaze_bf,0.65,1,25.3015
beyonce_glaze_diffpure,0.2485,0.9375,44.1005
beyonce_glaze_gn,0.7099,1,23.855
beyonce_glaze_pdmpure,0.5552,0.9375,23.7187
