img,ism,fdr
ariana,0.7810,1.0000
ariana_aspl,0.7226,1.0000
ariana_aspl_adavoc,0.6915,1.0000
ariana_aspl_ape,0.6582,1.0000
ariana_aspl_bf,0.7478,1.0000
ariana_aspl_bf_gn,0.7033,1.0000
ariana_aspl_diffpure,0.0981,0.7500
ariana_aspl_gn,0.7188,1.0000
ariana_aspl_gn_bf,0.7368,1.0000
ariana_aspl_pdmpure,0.6429,1.0000
ariana_metacloak,0.7018,1.0000
ariana_metacloak_adavoc,0.6083,1.0000
ariana_metacloak_ape,0.6825,0.5000
ariana_metacloak_bf,0.6925,1.0000
ariana_metacloak_bf_gn,0.6983,1.0000
ariana_metacloak_diffpure,0.2124,0.2500
ariana_metacloak_gn,0.6739,1.0000
ariana_metacloak_gn_bf,0.7157,1.0000
ariana_metacloak_pdmpure,0.6298,1.0000
ariana_mist,0.6917,1.0000
ariana_mist_adavoc,0.6729,1.0000
ariana_mist_ape,0.6858,1.0000
ariana_mist_bf,0.6896,1.0000
ariana_mist_bf_gn,0.6762,1.0000
ariana_mist_diffpure,0.0953,0.5000
ariana_mist_gn,0.6722,1.0000
ariana_mist_gn_bf,0.6897,1.0000
ariana_mist_pdmpure,0.6430,1.0000
ariana_glaze,0.7538,1.0000
ariana_glaze_adavoc,0.6948,1.0000
ariana_glaze_ape,0.6865,1.0000
ariana_glaze_bf,0.7667,1.0000
ariana_glaze_bf_gn,0.7324,1.0000
ariana_glaze_diffpure,0.0846,0.7500
ariana_glaze_gn,0.7137,1.0000
ariana_glaze_gn_bf,0.7266,1.0000
ariana_glaze_pdmpure,0.6394,1.0000
beyonce,0.7624,1.0000
beyonce_aspl,0.7341,1.0000
beyonce_aspl_adavoc,0.6304,1.0000
beyonce_aspl_ape,0.6757,1.0000
beyonce_aspl_bf,0.7501,1.0000
beyonce_aspl_bf_gn,0.7523,1.0000
beyonce_aspl_diffpure,0.3550,0.5000
beyonce_aspl_gn,0.7471,1.0000
beyonce_aspl_gn_bf,0.7519,1.0000
beyonce_aspl_pdmpure,0.6249,1.0000
beyonce_metacloak,0.6963,1.0000
beyonce_metacloak_adavoc,0.5673,1.0000
beyonce_metacloak_ape,0.5909,1.0000
beyonce_metacloak_bf,0.6995,1.0000
beyonce_metacloak_bf_gn,0.7001,1.0000
beyonce_metacloak_diffpure,0.3190,0.7500
beyonce_metacloak_gn,0.6919,1.0000
beyonce_metacloak_gn_bf,0.7077,1.0000
beyonce_metacloak_pdmpure,0.6255,1.0000
beyonce_mist,0.7175,1.0000
beyonce_mist_adavoc,0.6138,1.0000
beyonce_mist_ape,0.6603,1.0000
beyonce_mist_bf,0.7408,1.0000
beyonce_mist_bf_gn,0.7323,1.0000
beyonce_mist_diffpure,0.3106,0.7500
beyonce_mist_gn,0.7097,1.0000
beyonce_mist_gn_bf,0.7209,1.0000
beyonce_mist_pdmpure,0.5962,1.0000
beyonce_glaze,0.7439,1.0000
beyonce_glaze_adavoc,0.6424,1.0000
beyonce_glaze_ape,0.6900,1.0000
beyonce_glaze_bf,0.7558,1.0000
beyonce_glaze_bf_gn,0.7511,1.0000
beyonce_glaze_diffpure,0.3473,0.5000
beyonce_glaze_gn,0.7177,1.0000
beyonce_glaze_gn_bf,0.7599,1.0000
beyonce_glaze_pdmpure,0.6124,1.0000
bruce,0.7368,0.7500
bruce_aspl,0.7294,0.7500
bruce_aspl_adavoc,0.4687,0.7500
bruce_aspl_ape,0.6261,0.7500
bruce_aspl_bf,0.7387,0.7500
bruce_aspl_bf_gn,0.7232,0.7500
bruce_aspl_diffpure,0.2379,0.7500
bruce_aspl_gn,0.7241,0.7500
bruce_aspl_gn_bf,0.7297,0.7500
bruce_aspl_pdmpure,0.6252,0.7500
bruce_metacloak,0.6770,0.7500
bruce_metacloak_adavoc,0.3869,0.5000
bruce_metacloak_ape,0.5699,0.5000
bruce_metacloak_bf,0.7137,0.7500
bruce_metacloak_bf_gn,0.6976,0.7500
bruce_metacloak_diffpure,0.2278,0.7500
bruce_metacloak_gn,0.7112,0.7500
bruce_metacloak_gn_bf,0.7178,0.7500
